time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
42.538,0.099243,2,-0.000041,0.00009,0.000701,-0.000662,0.001077,0.000176
42.711,0.002475,2,-0.000011,0.000067,0.000741,-0.000771,0.001796,0.000127
42.899,-0.030441,2,0.000032,0.000206,0.000428,-0.000843,0.001646,0.000315
43.072,-0.007513,2,0.000078,0.000316,0.000258,-0.000999,0.001573,0.000479
43.245,-0.15616,2,0.000123,0.000219,0.000357,-0.001012,0.002077,0.000333
43.418,-0.186979,2,0.000154,0.000005,0.000419,-0.000644,0.002494,-0.000006
43.591,-0.061026,2,0.000158,-0.000107,0.000184,-0.000003,0.002136,-0.00018
43.764,0.027171,2,0.000135,-0.000082,-0.000348,0.000605,0.000892,-0.00012
43.921,0.172873,2,0.000096,-0.000055,-0.000963,0.00092,-0.000814,-0.000062
44.094,0.20282,2,0.000036,-0.00011,-0.001496,0.000959,-0.002674,-0.000156
44.267,0.204,2,-0.000032,-0.000219,-0.001557,0.000878,-0.003607,-0.000348
44.44,0.134706,2,-0.000098,-0.000275,-0.001183,0.000902,-0.003461,-0.000464
44.628,0.01746,2,-0.000153,-0.0002,-0.000687,0.000837,-0.002904,-0.000365
44.785,-0.074482,2,-0.000178,-0.000054,-0.000329,0.000358,-0.002453,-0.000119
44.943,-0.048528,2,-0.000179,0.000106,0.00011,-0.000465,-0.001734,0.000169
45.147,-0.135963,2,-0.000143,0.00027,0.000918,-0.001296,-0.000003,0.000451
45.335,-0.147087,2,-0.000082,0.000343,0.001741,-0.001336,0.00226,0.00057
45.539,-0.171314,2,-0.000003,0.000283,0.002293,-0.000967,0.004492,0.000481
45.728,-0.269422,2,0.000062,0.000101,0.002124,-0.000733,0.00507,0.00019
45.948,-0.211588,2,0.000102,-0.000116,0.001227,-0.000314,0.003602,-0.000154
46.152,0.09089,2,0.0001,-0.000214,0.000204,0.000793,0.001195,-0.000322
46.34,0.33185,2,0.000081,-0.000261,-0.000831,0.001975,-0.001496,-0.000459
46.513,0.46972,2,0.000066,-0.000298,-0.001801,0.002252,-0.003895,-0.000577
46.686,0.333832,2,0.000061,-0.000263,-0.002387,0.001406,-0.005022,-0.000516
46.859,0.067069,2,0.000062,-0.000074,-0.002264,-0.000063,-0.004179,-0.000153
47.047,-0.20751,2,0.000055,0.000228,-0.001498,-0.00141,-0.001811,0.000407
47.22,-0.149017,2,0.000034,0.000368,-0.000637,-0.00177,0.000444,0.000678
47.393,-0.118702,2,0.000002,0.000254,0.000047,-0.001197,0.002024,0.000489
47.566,-0.075227,2,-0.000031,0.000033,0.000392,-0.000278,0.002606,0.000075
47.755,0.00547,2,-0.000059,-0.000062,0.000432,0.000202,0.002103,-0.000123
47.943,-0.105849,2,-0.000071,0.000038,0.000449,-0.000085,0.001071,0.000052
48.116,-0.093677,2,-0.000069,0.000124,0.000678,-0.000528,0.00038,0.000211
48.273,-0.048009,2,-0.000059,0.000092,0.000965,-0.000641,0.000054,0.000157
48.446,-0.074718,2,-0.000045,-0.000033,0.001092,-0.000174,-0.000363,-0.00006
48.619,-0.078739,2,-0.000034,-0.000154,0.000945,0.000858,-0.000942,-0.000287
48.792,0.072361,2,-0.00003,-0.000225,0.000761,0.001833,-0.001131,-0.00043
48.965,0.093132,2,-0.00003,-0.000252,0.000709,0.001942,-0.000588,-0.000453
49.138,0.183017,2,-0.000029,-0.000217,0.000607,0.001067,0.000101,-0.000341
49.31,0.17229,2,-0.000024,-0.000102,0.000243,-0.000084,0.000252,-0.000124
49.499,0.141654,2,-0.00001,0.000056,-0.000358,-0.000847,-0.00006,0.000133
49.672,-0.009883,2,0.000013,0.000156,-0.000911,-0.000986,-0.000515,0.00029
49.845,-0.15952,2,0.000041,0.000211,-0.00139,-0.000943,-0.001194,0.000359
50.018,-0.183988,2,0.000068,0.000256,-0.001561,-0.001024,-0.001596,0.000394
50.206,-0.174697,2,0.000091,0.000277,-0.001109,-0.001195,-0.000682,0.000425
50.395,-0.132715,2,0.000101,0.000234,-0.000289,-0.001056,0.001273,0.000388
50.567,0.005147,2,0.000095,0.000118,0.000224,-0.000467,0.002575,0.000204
50.74,0.182342,2,0.000074,-0.000104,0.000407,0.000449,0.002899,-0.000174
50.929,0.277013,2,0.000043,-0.000399,0.000445,0.00153,0.002352,-0.000664
51.102,0.224484,2,0.000013,-0.000517,0.00035,0.002189,0.001051,-0.000857
51.275,0.05004,2,-0.000018,-0.000376,0.000115,0.00209,-0.000674,-0.000624
51.463,-0.029561,2,-0.00005,-0.000091,-0.000106,0.001044,-0.001995,-0.000135
51.636,-0.306557,2,-0.00008,0.0001,-0.000102,-0.000323,-0.002228,0.000198
51.824,-0.279871,2,-0.000114,0.000234,0.000204,-0.001593,-0.001674,0.00041
51.997,-0.065964,2,-0.000139,0.000352,0.000691,-0.002133,-0.000741,0.000574
